Saved path: party_store, music_store, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store : 51060
Saved path: pet_store, bike_shop, salon, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, gym, craft_shop, music_store, gelateria, pharmacy, bakery : 44607
Saved path: pharmacy, party_store, bakery, pet_store, bike_shop, salon, hardware_store, gym, toy_store, noodle_house, cafe, dentist, florist, music_store, gelateria : 46643
Saved path: craft_shop, dentist, grocery_store, cafe, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, pharmacy, hardware_store, gym : 49524
Saved path: party_store, salon, pet_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, bookstore, burger_joint, gym, pizzeria, florist, gelateria, pharmacy : 44626
Saved path: noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, gelateria, pizzeria, gym, hardware_store, cafe, grocery_store : 49613
Saved path: bookstore, cafe, tech_shop, clothing_store, toy_store, gym, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, bank, craft_shop : 43454
Saved path: toy_store, clothing_store, cafe, dentist, craft_shop, pizzeria, bank, florist, gelateria, pharmacy, jewelry_store, bakery, pet_store, gym, burger_joint : 46957
Saved path: bakery, pet_store, jewelry_store, hardware_store, gym, toy_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, music_store, gelateria, pharmacy, party_store : 46420
Saved path: music_store, florist, bank, pizzeria, craft_shop, dentist, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, bike_shop, pet_store, bakery, barber_shop : 50870
Saved path: music_store, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, bookstore, cafe, dentist, craft_shop, florist : 40184
Saved path: salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, bookstore, gym, music_store, gelateria, pharmacy, party_store, bakery, pet_store : 47232
Saved path: cafe, grocery_store, noodle_house, toy_store, gym, jewelry_store, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, florist, craft_shop, bookstore : 44088
Saved path: tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, gelateria, music_store, florist, bank, pizzeria, dentist, burger_joint : 50502
Saved path: pizzeria, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, gelateria : 46797
Saved path: florist, bank, craft_shop, dentist, cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym, bakery, bike_shop, party_store, gelateria : 36475
