Saved path: burger_joint, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, salon, party_store, pharmacy, gelateria, bank, craft_shop, dentist, bookstore : 36852
Saved path: pet_store, bike_shop, hardware_store, gym, toy_store, tech_shop, bookstore, craft_shop, bank, florist, gelateria, pharmacy, party_store, barber_shop, bakery : 45616
Saved path: dentist, cafe, tech_shop, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, pizzeria : 51498
Saved path: pizzeria, craft_shop, dentist, burger_joint, tech_shop, noodle_house, toy_store, gym, bakery, bike_shop, salon, party_store, gelateria, music_store, bank : 38181
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, bakery, bike_shop, salon, party_store, gelateria, music_store, dentist, cafe, bookstore, burger_joint : 39607
Saved path: salon, party_store, pharmacy, music_store, florist, bank, craft_shop, cafe, grocery_store, toy_store, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 43324
Saved path: music_store, pharmacy, party_store, pet_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, cafe, burger_joint, bookstore, craft_shop, bank, florist : 43082
Saved path: pharmacy, party_store, jewelry_store, bakery, pet_store, hardware_store, gym, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, bank, florist : 44965
Saved path: cafe, bookstore, gelateria, music_store, pharmacy, party_store, salon, bike_shop, pet_store, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store : 44436
Saved path: music_store, gelateria, party_store, salon, bike_shop, bakery, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, pizzeria, craft_shop : 35220
Saved path: jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, gym, hardware_store, pet_store, bakery : 40379
Saved path: jewelry_store, party_store, pharmacy, florist, bank, pizzeria, craft_shop, dentist, bookstore, noodle_house, toy_store, gym, pet_store, bakery, salon : 46193
Saved path: bike_shop, bakery, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, gym, craft_shop, bank, florist, music_store, gelateria, pharmacy, salon : 34297
Saved path: toy_store, clothing_store, grocery_store, dentist, bookstore, burger_joint, gym, florist, gelateria, pharmacy, party_store, pet_store, salon, jewelry_store, hardware_store : 48767
Saved path: bike_shop, bakery, barber_shop, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank, florist, music_store, party_store, salon : 40072
Saved path: pet_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, cafe, dentist, craft_shop, pizzeria, music_store, bike_shop : 50990
Saved path: pizzeria, florist, pharmacy, party_store, jewelry_store, salon, bike_shop, pet_store, bakery, toy_store, noodle_house, bookstore, cafe, dentist, craft_shop : 44944
Saved path: florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store, grocery_store, dentist, cafe, burger_joint, gym, bank : 41734
Saved path: burger_joint, cafe, grocery_store, tech_shop, toy_store, barber_shop, bakery, salon, party_store, pharmacy, gelateria, florist, craft_shop, pizzeria, gym : 33564
Saved path: pet_store, bike_shop, party_store, pharmacy, gelateria, music_store, craft_shop, dentist, grocery_store, clothing_store, noodle_house, burger_joint, gym, barber_shop, bakery : 52104
Saved path: cafe, grocery_store, tech_shop, toy_store, gym, hardware_store, jewelry_store, salon, pet_store, bakery, pharmacy, music_store, bank, pizzeria, bookstore : 44678
