Saved path: gym, pizzeria, bank, florist, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, burger_joint, cafe, grocery_store, tech_shop, toy_store : 34534
Saved path: craft_shop, florist, gelateria, pharmacy, party_store, bakery, pet_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, pizzeria : 37616
Saved path: toy_store, noodle_house, tech_shop, cafe, bookstore, pizzeria, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store : 45942
Saved path: bakery, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, burger_joint, dentist, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store : 37850
Saved path: gelateria, music_store, pharmacy, party_store, jewelry_store, bakery, pet_store, gym, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria : 48950
Saved path: hardware_store, toy_store, clothing_store, cafe, dentist, craft_shop, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, salon, bakery, pet_store : 45954
Saved path: gelateria, pharmacy, salon, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, cafe, pizzeria, craft_shop, bank, florist, music_store : 31217
Saved path: salon, pharmacy, gelateria, florist, pizzeria, craft_shop, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, bike_shop : 44353
Saved path: florist, bank, pizzeria, bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store, gelateria : 33306
Saved path: party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, gym, craft_shop, bank, music_store : 44665
Saved path: gelateria, pharmacy, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, gym, burger_joint, cafe, bookstore, pizzeria, bank, music_store : 45573
Saved path: bakery, pet_store, bike_shop, party_store, pharmacy, florist, bank, craft_shop, dentist, bookstore, tech_shop, clothing_store, toy_store, gym, hardware_store : 46317
Saved path: craft_shop, pizzeria, music_store, gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, burger_joint, dentist : 41412
Saved path: tech_shop, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, gym, burger_joint : 40651
Saved path: craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, clothing_store, toy_store, hardware_store, pet_store, salon, pharmacy, gelateria, music_store, florist : 46804
Saved path: gym, jewelry_store, pet_store, bike_shop, salon, pharmacy, gelateria, florist, pizzeria, craft_shop, dentist, clothing_store, tech_shop, noodle_house, toy_store : 48096
Saved path: noodle_house, burger_joint, bakery, jewelry_store, hardware_store, gym, craft_shop, florist, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store : 33730
Saved path: pet_store, bakery, barber_shop, hardware_store, gym, toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, bank, music_store, party_store, bike_shop : 48413
Saved path: bookstore, dentist, craft_shop, florist, music_store, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store : 40326
Saved path: toy_store, barber_shop, jewelry_store, bakery, salon, pharmacy, gelateria, music_store, craft_shop, gym, hardware_store, noodle_house, tech_shop, grocery_store, clothing_store : 36910
Saved path: burger_joint, gym, craft_shop, bank, florist, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, noodle_house, clothing_store, bookstore : 44924
Saved path: pharmacy, gelateria, music_store, florist, bank, craft_shop, pizzeria, bookstore, cafe, burger_joint, noodle_house, toy_store, hardware_store, bakery, bike_shop : 31827
