Saved path: florist, pharmacy, party_store, jewelry_store, bike_shop, pet_store, bakery, gym, burger_joint, tech_shop, toy_store, grocery_store, dentist, pizzeria, bank : 47945
Saved path: florist, bank, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store : 45987
Saved path: barber_shop, pet_store, bakery, salon, pharmacy, music_store, bank, pizzeria, bookstore, burger_joint, cafe, dentist, clothing_store, tech_shop, toy_store : 49644
Saved path: dentist, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, music_store, bank, gym, hardware_store, burger_joint : 53309
Saved path: dentist, craft_shop, pizzeria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe : 46224
Saved path: jewelry_store, hardware_store, toy_store, grocery_store, bookstore, pizzeria, craft_shop, bank, florist, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop : 44436
Saved path: pet_store, barber_shop, gelateria, music_store, craft_shop, pizzeria, bookstore, cafe, tech_shop, noodle_house, toy_store, gym, hardware_store, salon, bakery : 47741
Saved path: pharmacy, florist, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, pet_store, bakery, salon : 39186
Saved path: jewelry_store, pet_store, bike_shop, party_store, pharmacy, craft_shop, pizzeria, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint : 44204
Saved path: grocery_store, clothing_store, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, music_store, florist, bank, pizzeria, bookstore, burger_joint, dentist : 48669
Saved path: bakery, pet_store, bike_shop, party_store, pharmacy, music_store, bank, pizzeria, gym, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, jewelry_store : 45730
Saved path: barber_shop, toy_store, tech_shop, grocery_store, cafe, hardware_store, gym, pizzeria, bank, music_store, pharmacy, bakery, pet_store, bike_shop, jewelry_store : 48657
Saved path: party_store, pharmacy, gelateria, florist, bank, craft_shop, pizzeria, bookstore, cafe, tech_shop, clothing_store, toy_store, barber_shop, bakery, salon : 30751
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, bookstore, cafe, dentist, craft_shop, bank, music_store, gelateria, pharmacy : 41431
Saved path: bookstore, dentist, grocery_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, party_store, gelateria, bank, gym, hardware_store, burger_joint : 42968
Saved path: dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, pet_store, bike_shop, salon, jewelry_store, pharmacy, music_store, pizzeria, craft_shop : 48153
Saved path: bank, florist, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, gym : 35128
Saved path: gym, hardware_store, pet_store, bakery, barber_shop, party_store, pharmacy, florist, pizzeria, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store : 48761
Saved path: grocery_store, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, florist, bank, pizzeria, gym, burger_joint, dentist : 50068
Saved path: burger_joint, cafe, bookstore, craft_shop, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store, hardware_store, toy_store, noodle_house : 43881
Saved path: hardware_store, gym, toy_store, noodle_house, cafe, dentist, craft_shop, music_store, gelateria, party_store, barber_shop, jewelry_store, salon, bakery, pet_store : 51008
