Saved path: jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, burger_joint, bookstore, pizzeria, craft_shop, florist, party_store, bike_shop, pet_store, bakery, barber_shop : 44871
Saved path: tech_shop, grocery_store, clothing_store, toy_store, hardware_store, bakery, bike_shop, salon, pharmacy, gelateria, music_store, florist, pizzeria, gym, noodle_house : 35274
Saved path: bank, florist, gym, hardware_store, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, burger_joint, cafe, grocery_store, dentist : 49822
Saved path: craft_shop, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store, barber_shop, jewelry_store, bakery, bike_shop, party_store, pharmacy, music_store, florist : 43107
Saved path: music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store, gym, noodle_house, grocery_store, dentist, craft_shop, bank, florist : 48600
Saved path: grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore, gym, bakery, pet_store, jewelry_store, party_store, pharmacy, gelateria, craft_shop, dentist : 47832
Saved path: grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, pet_store, bakery, salon, jewelry_store, pharmacy, music_store, bookstore, cafe, dentist : 50561
Saved path: bookstore, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, bike_shop, party_store, florist, craft_shop, pizzeria : 45516
Saved path: cafe, bookstore, pizzeria, craft_shop, florist, music_store, party_store, salon, bakery, pet_store, barber_shop, hardware_store, gym, toy_store, tech_shop : 46785
Saved path: barber_shop, toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store, pharmacy, gelateria, bakery, bike_shop, salon, jewelry_store : 40980
Saved path: bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank, florist, music_store, bakery, pet_store : 48483
Saved path: dentist, cafe, bookstore, pizzeria, gym, florist, gelateria, bakery, pet_store, salon, barber_shop, toy_store, noodle_house, tech_shop, burger_joint : 50145
Saved path: salon, jewelry_store, barber_shop, grocery_store, toy_store, hardware_store, gym, bank, gelateria, music_store, pharmacy, party_store, bakery, pet_store, bike_shop : 47816
Saved path: dentist, grocery_store, clothing_store, toy_store, gym, hardware_store, bakery, salon, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore : 37358
Saved path: salon, bike_shop, bakery, party_store, gelateria, craft_shop, pizzeria, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store : 33489
Saved path: bakery, salon, music_store, florist, bank, pizzeria, dentist, cafe, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, barber_shop, pet_store : 49042
Saved path: dentist, cafe, bookstore, pizzeria, bank, music_store, gelateria, pharmacy, jewelry_store, bakery, pet_store, gym, toy_store, noodle_house, clothing_store : 49855
Saved path: cafe, clothing_store, toy_store, gym, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, gelateria, florist, bank, pizzeria, dentist : 49874
Saved path: toy_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, music_store, florist, craft_shop, pizzeria, gym, burger_joint, dentist, clothing_store : 43210
Saved path: craft_shop, florist, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, noodle_house, burger_joint, bookstore : 46211
Saved path: cafe, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, pizzeria, gym, burger_joint, bookstore : 39361
Saved path: clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, bank, florist, pharmacy, bakery, pet_store, bike_shop, jewelry_store, toy_store, tech_shop : 45054
Saved path: party_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, tech_shop, clothing_store, toy_store, hardware_store, pet_store, bakery, salon : 40241
Saved path: dentist, cafe, clothing_store, noodle_house, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, party_store, pharmacy, gelateria, music_store, bank, craft_shop : 38174
