Saved path: pharmacy, florist, pizzeria, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, bakery : 38385
Saved path: craft_shop, gym, pizzeria, bank, gelateria, pharmacy, party_store, salon, bakery, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, dentist : 38014
Saved path: jewelry_store, pharmacy, gelateria, bank, dentist, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, pet_store, bakery : 47452
Saved path: noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pharmacy, music_store, florist, bank, pizzeria, bookstore, dentist, tech_shop : 41243
Saved path: toy_store, noodle_house, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, florist, music_store, pharmacy, party_store, jewelry_store, hardware_store, gym : 38396
Saved path: pharmacy, gelateria, music_store, craft_shop, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store : 48011
Saved path: hardware_store, gym, pizzeria, bank, gelateria, music_store, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, grocery_store, cafe : 48753
Saved path: burger_joint, gym, jewelry_store, bike_shop, pet_store, bakery, music_store, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, tech_shop : 52504
Saved path: barber_shop, bakery, salon, party_store, music_store, florist, pizzeria, craft_shop, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store : 42108
Saved path: barber_shop, pharmacy, music_store, florist, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, gym, hardware_store, bike_shop, pet_store, bakery : 54026
Saved path: hardware_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore, craft_shop, florist, gelateria, pharmacy, party_store, jewelry_store, bakery, pet_store : 40540
Saved path: burger_joint, bookstore, tech_shop, toy_store, clothing_store, grocery_store, dentist, craft_shop, bank, music_store, gelateria, pharmacy, jewelry_store, bakery, pet_store : 47789
Saved path: dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, bike_shop, bakery, party_store, gelateria, florist, craft_shop : 38445
Saved path: craft_shop, bank, music_store, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, gym, pizzeria : 38539
Saved path: bookstore, bank, florist, gelateria, pharmacy, bakery, pet_store, jewelry_store, hardware_store, gym, burger_joint, noodle_house, grocery_store, dentist, cafe : 47626
Saved path: bookstore, pizzeria, florist, music_store, gelateria, pharmacy, salon, bakery, gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe : 32438
Saved path: florist, craft_shop, gym, burger_joint, cafe, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store : 36698
Saved path: toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pharmacy, music_store, florist, bank, pizzeria, craft_shop, dentist, tech_shop, noodle_house : 39879
Saved path: cafe, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, jewelry_store, bakery, pet_store, bike_shop, pharmacy, music_store, bank, craft_shop, dentist : 47111
