Saved path: gelateria, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, toy_store, hardware_store, jewelry_store, bakery, pet_store, bike_shop, salon, party_store : 48172
Saved path: tech_shop, toy_store, barber_shop, jewelry_store, bakery, pet_store, party_store, pharmacy, gelateria, music_store, bank, pizzeria, bookstore, dentist, burger_joint : 48175
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, florist, music_store, gelateria, bakery, pet_store, bike_shop, salon, barber_shop : 49067
Saved path: tech_shop, noodle_house, toy_store, gym, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, music_store, craft_shop, dentist, cafe, bookstore : 40756
Saved path: bank, dentist, cafe, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, pet_store, bakery, salon, party_store, pharmacy, florist : 44103
Saved path: burger_joint, tech_shop, clothing_store, toy_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, music_store, bank, craft_shop, dentist, bookstore : 48939
Saved path: grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, jewelry_store, toy_store : 37633
Saved path: bike_shop, salon, music_store, gelateria, florist, craft_shop, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, pet_store : 45475
Saved path: party_store, bakery, pet_store, salon, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, cafe, dentist, pizzeria, bank, florist : 47025
Saved path: toy_store, clothing_store, dentist, cafe, burger_joint, bookstore, pizzeria, craft_shop, music_store, gelateria, pharmacy, bike_shop, pet_store, jewelry_store, hardware_store : 50822
Saved path: bank, florist, music_store, gelateria, pharmacy, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, burger_joint, bookstore, pizzeria, craft_shop : 35388
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, florist, gelateria, pharmacy, party_store, bakery, pet_store : 44177
Saved path: jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, music_store, florist, bank, craft_shop, pizzeria, cafe, tech_shop, toy_store, hardware_store : 36238
Saved path: party_store, pharmacy, gelateria, craft_shop, gym, hardware_store, burger_joint, bookstore, tech_shop, clothing_store, toy_store, barber_shop, bakery, pet_store, salon : 46184
Saved path: clothing_store, tech_shop, cafe, bookstore, pizzeria, craft_shop, music_store, gelateria, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 38762
Saved path: bakery, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank, florist, gelateria, pharmacy, salon, bike_shop : 34006
Saved path: pharmacy, music_store, florist, bookstore, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, bakery, pet_store, bike_shop, salon : 43037
Saved path: party_store, gelateria, music_store, florist, bank, craft_shop, dentist, bookstore, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store : 49130
Saved path: pet_store, bike_shop, hardware_store, toy_store, clothing_store, tech_shop, cafe, dentist, bank, florist, gelateria, pharmacy, party_store, barber_shop, bakery : 48685
Saved path: music_store, bakery, pet_store, salon, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, pizzeria, gym : 51803
Saved path: florist, craft_shop, dentist, bookstore, burger_joint, tech_shop, toy_store, gym, hardware_store, bike_shop, pet_store, bakery, barber_shop, party_store, pharmacy : 51064
Saved path: salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, bank, music_store, gelateria, pharmacy : 35228
Saved path: noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, pet_store, pharmacy, gelateria, craft_shop, dentist, grocery_store, clothing_store, toy_store : 47263
