Saved path: gym, toy_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, florist, music_store, gelateria, pharmacy, pet_store, salon, jewelry_store, hardware_store : 46952
Saved path: gym, burger_joint, bookstore, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, music_store : 48778
Saved path: pharmacy, gelateria, music_store, bank, pizzeria, dentist, cafe, grocery_store, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon : 47621
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, salon, pharmacy, music_store, gelateria, bank, dentist, cafe, grocery_store : 41686
Saved path: pet_store, hardware_store, gym, toy_store, tech_shop, burger_joint, bookstore, cafe, dentist, bank, gelateria, music_store, party_store, barber_shop, bakery : 52536
Saved path: jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, burger_joint, toy_store, hardware_store : 45255
Saved path: grocery_store, tech_shop, burger_joint, pizzeria, craft_shop, bank, florist, gym, bakery, pet_store, bike_shop, jewelry_store, hardware_store, toy_store, clothing_store : 40829
Saved path: cafe, bookstore, pizzeria, gym, music_store, gelateria, pharmacy, bakery, bike_shop, salon, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint : 38570
Saved path: gym, hardware_store, jewelry_store, pet_store, bakery, salon, pharmacy, gelateria, florist, pizzeria, craft_shop, dentist, clothing_store, tech_shop, toy_store : 47349
Saved path: florist, bank, craft_shop, bookstore, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, gelateria : 42968
Saved path: tech_shop, cafe, bookstore, gym, bank, florist, music_store, gelateria, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store : 47171
Saved path: toy_store, clothing_store, grocery_store, tech_shop, bookstore, pizzeria, craft_shop, bank, florist, music_store, pharmacy, bakery, pet_store, hardware_store, gym : 42150
Saved path: bakery, bike_shop, jewelry_store, gym, burger_joint, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, bank, gelateria, pharmacy : 39889
Saved path: toy_store, gym, hardware_store, pet_store, bakery, salon, jewelry_store, party_store, pharmacy, gelateria, bank, bookstore, burger_joint, tech_shop, grocery_store : 43757
Saved path: bookstore, burger_joint, cafe, clothing_store, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop, party_store, pharmacy, florist, pizzeria : 43956
Saved path: craft_shop, florist, music_store, gelateria, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, dentist : 39467
