Saved path: pet_store, gelateria, music_store, florist, bank, bookstore, burger_joint, cafe, dentist, grocery_store, toy_store, barber_shop, jewelry_store, salon, bakery : 49369
Saved path: grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, gelateria, florist, bank, gym, bookstore, tech_shop : 36506
Saved path: florist, music_store, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, gym, toy_store, tech_shop, burger_joint, dentist, craft_shop, bank : 50811
Saved path: tech_shop, toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, florist, bank, craft_shop, pizzeria, bookstore, dentist, grocery_store : 37595
Saved path: gelateria, music_store, party_store, salon, bakery, jewelry_store, hardware_store, gym, toy_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, bank : 35195
Saved path: toy_store, clothing_store, grocery_store, craft_shop, bank, music_store, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store : 44079
Saved path: bakery, salon, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist, bank, pizzeria, bookstore, party_store, pet_store : 45215
Saved path: gym, bike_shop, pet_store, bakery, jewelry_store, party_store, pharmacy, music_store, florist, bank, craft_shop, bookstore, clothing_store, cafe, burger_joint : 45204
Saved path: bike_shop, bakery, party_store, pharmacy, music_store, pizzeria, bookstore, burger_joint, cafe, clothing_store, toy_store, gym, hardware_store, jewelry_store, salon : 37301
Saved path: music_store, pharmacy, party_store, pet_store, bakery, jewelry_store, hardware_store, burger_joint, noodle_house, clothing_store, grocery_store, cafe, craft_shop, bank, florist : 41920
Saved path: barber_shop, jewelry_store, bakery, pet_store, hardware_store, gym, toy_store, tech_shop, cafe, bookstore, bank, florist, music_store, pharmacy, party_store : 45700
Saved path: music_store, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, toy_store, tech_shop, hardware_store, gym, pizzeria, craft_shop, bank, florist : 37682
Saved path: toy_store, clothing_store, grocery_store, noodle_house, gym, craft_shop, bank, florist, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop : 44807
Saved path: burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store, gelateria, bank, craft_shop, dentist, cafe, bookstore : 37573
Saved path: burger_joint, bookstore, pizzeria, craft_shop, bank, gelateria, bakery, salon, jewelry_store, hardware_store, gym, toy_store, clothing_store, dentist, cafe : 38658
Saved path: toy_store, clothing_store, tech_shop, burger_joint, bank, florist, music_store, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, hardware_store : 47596
Saved path: gelateria, music_store, party_store, barber_shop, bakery, bike_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, bookstore, dentist, craft_shop, bank : 46579
Saved path: craft_shop, dentist, grocery_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, pharmacy, gelateria, music_store, florist : 43132
Saved path: toy_store, noodle_house, tech_shop, grocery_store, dentist, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym : 43993
Saved path: gym, burger_joint, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, bank, music_store, party_store, jewelry_store, bakery, pet_store : 48847
Saved path: noodle_house, tech_shop, grocery_store, cafe, burger_joint, gym, craft_shop, florist, music_store, pharmacy, salon, bike_shop, pet_store, jewelry_store, toy_store : 45552
Saved path: salon, bike_shop, bakery, jewelry_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, bank, music_store : 39204
Saved path: dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, bakery, pet_store, bike_shop, hardware_store, burger_joint, bookstore, pizzeria, bank, craft_shop : 39666
Saved path: dentist, grocery_store, toy_store, barber_shop, jewelry_store, bakery, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, gym, burger_joint, bookstore : 42077
Saved path: pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, dentist, bank, florist, pizzeria, bookstore, burger_joint, bakery : 45110
