Saved path: burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, toy_store, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, gelateria, pet_store, gym : 61761
Saved path: dentist, burger_joint, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, craft_shop : 54326
Saved path: gelateria, barber_shop, bike_shop, bakery, hardware_store, burger_joint, bookstore, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, music_store, bank : 57433
Saved path: noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, bank, music_store, gym, hardware_store, bakery, party_store, jewelry_store, bike_shop, barber_shop : 69038
Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, music_store, bank, gelateria, craft_shop, gym, bookstore : 67325
Saved path: gelateria, music_store, bike_shop, party_store, bakery, barber_shop, noodle_house, grocery_store, tech_shop, pizzeria, cafe, bookstore, hardware_store, gym, pet_store : 61390
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, pet_store, florist, bank, gelateria, pharmacy : 65098
Saved path: bakery, pharmacy, hardware_store, gym, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, jewelry_store, party_store, bike_shop : 49242
Saved path: jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, craft_shop, pet_store, florist, pharmacy, hardware_store : 58821
Saved path: barber_shop, bike_shop, bakery, pharmacy, gelateria, bank, pet_store, pizzeria, gym, hardware_store, burger_joint, bookstore, grocery_store, clothing_store, toy_store : 62487
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy : 61781
Saved path: pet_store, craft_shop, pizzeria, dentist, burger_joint, cafe, tech_shop, clothing_store, noodle_house, salon, barber_shop, hardware_store, party_store, music_store, bank : 67116
Saved path: tech_shop, grocery_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, bank, pizzeria : 67610
Saved path: grocery_store, bookstore, burger_joint, cafe, dentist, craft_shop, florist, bank, music_store, pharmacy, bike_shop, gym, toy_store, salon, noodle_house : 57532
Saved path: grocery_store, tech_shop, pizzeria, florist, bank, music_store, bike_shop, party_store, jewelry_store, salon, noodle_house, toy_store, burger_joint, bookstore, cafe : 66738
