Saved path: noodle_house, toy_store, hardware_store, jewelry_store, salon, bike_shop, gym, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, tech_shop : 31115
Saved path: pharmacy, gelateria, music_store, bank, pizzeria, craft_shop, dentist, tech_shop, toy_store, gym, hardware_store, jewelry_store, salon, bakery, pet_store : 48730
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, grocery_store, bookstore, pizzeria, bank, florist, party_store, salon, bike_shop, pet_store : 43989
Saved path: bank, gym, bookstore, cafe, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, music_store : 47485
Saved path: grocery_store, cafe, bookstore, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bakery, pet_store, pharmacy, music_store, bank, dentist : 48341
Saved path: gym, hardware_store, bike_shop, salon, party_store, pharmacy, music_store, gelateria, pizzeria, bookstore, dentist, grocery_store, toy_store, noodle_house, burger_joint : 41311
Saved path: gym, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, florist, music_store, gelateria, party_store, jewelry_store, salon, bike_shop, pet_store : 49509
Saved path: clothing_store, grocery_store, cafe, dentist, florist, music_store, gelateria, party_store, bakery, pet_store, jewelry_store, gym, burger_joint, tech_shop, toy_store : 49047
Saved path: pharmacy, gelateria, music_store, florist, bank, craft_shop, pizzeria, bookstore, dentist, grocery_store, toy_store, hardware_store, bakery, bike_shop, salon : 37579
Saved path: tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, pizzeria, music_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store : 51252
Saved path: party_store, music_store, bank, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop : 49938
Saved path: bakery, bike_shop, jewelry_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, florist, gelateria, pharmacy : 33326
Saved path: hardware_store, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, noodle_house, burger_joint, bookstore, dentist, bank, florist, gym : 51632
Saved path: bike_shop, pet_store, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, dentist, craft_shop, gelateria, pharmacy, party_store, jewelry_store, salon : 47516
Saved path: gym, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, party_store, pharmacy, pet_store : 47431
