Saved path: bakery, salon, jewelry_store, party_store, pharmacy, music_store, florist, bank, craft_shop, dentist, grocery_store, cafe, bookstore, noodle_house, toy_store : 36500
Saved path: craft_shop, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, salon, bakery, gelateria, florist : 36020
Saved path: bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, pharmacy, music_store, bank, gym, burger_joint : 45966
Saved path: burger_joint, bookstore, pizzeria, bank, music_store, pharmacy, party_store, jewelry_store, bakery, pet_store, gym, toy_store, clothing_store, tech_shop, noodle_house : 44398
Saved path: tech_shop, noodle_house, toy_store, pet_store, bakery, salon, jewelry_store, party_store, gelateria, music_store, florist, pizzeria, dentist, cafe, clothing_store : 47261
Saved path: barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy, gelateria, florist, pizzeria, craft_shop, dentist, grocery_store, tech_shop, toy_store : 46224
Saved path: grocery_store, clothing_store, toy_store, gym, hardware_store, pet_store, bakery, barber_shop, pharmacy, gelateria, craft_shop, pizzeria, bookstore, burger_joint, tech_shop : 46778
Saved path: grocery_store, toy_store, tech_shop, burger_joint, gym, hardware_store, jewelry_store, salon, bike_shop, party_store, gelateria, pizzeria, bookstore, cafe, dentist : 41591
Saved path: hardware_store, gym, toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, music_store, pharmacy, party_store, bike_shop, bakery, jewelry_store : 37302
Saved path: pet_store, bakery, salon, music_store, gelateria, florist, craft_shop, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, gym, hardware_store : 46754
Saved path: bank, florist, gelateria, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, gym, toy_store, bookstore, dentist, craft_shop : 48057
Saved path: jewelry_store, gelateria, music_store, florist, pizzeria, craft_shop, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, gym, pet_store, salon : 48844
Saved path: tech_shop, toy_store, clothing_store, grocery_store, cafe, pizzeria, bank, florist, pharmacy, party_store, bakery, bike_shop, salon, hardware_store, burger_joint : 29908
Saved path: burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, bank, florist, gelateria, pharmacy, bakery, pet_store, bike_shop, gym : 44850
Saved path: salon, bakery, jewelry_store, hardware_store, gym, toy_store, tech_shop, grocery_store, bookstore, pizzeria, craft_shop, bank, florist, music_store, party_store : 34462
Saved path: bank, florist, music_store, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, bookstore, craft_shop : 36612
Saved path: burger_joint, cafe, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, gelateria, music_store, florist, bank : 46110
Saved path: salon, pet_store, bakery, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, bank, florist, gym : 36245
Saved path: burger_joint, cafe, grocery_store, toy_store, hardware_store, pet_store, bakery, salon, party_store, pharmacy, gelateria, music_store, bank, pizzeria, gym : 42517
Saved path: toy_store, noodle_house, tech_shop, cafe, burger_joint, gym, bank, music_store, gelateria, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop : 45646
Saved path: party_store, salon, bakery, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, cafe, bookstore, pizzeria, gym, craft_shop, bank, gelateria : 33620
