Saved path: jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, pizzeria, florist, music_store, gelateria, pharmacy, bike_shop, pet_store : 45562
Saved path: bank, craft_shop, gym, noodle_house, tech_shop, grocery_store, clothing_store, toy_store, bakery, pet_store, bike_shop, jewelry_store, party_store, gelateria, music_store : 46112
Saved path: craft_shop, music_store, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, dentist : 51023
Saved path: toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, pharmacy, gelateria, music_store, bank, bookstore, cafe, grocery_store : 39061
Saved path: clothing_store, grocery_store, dentist, craft_shop, pizzeria, music_store, gelateria, pharmacy, party_store, bike_shop, gym, burger_joint, tech_shop, noodle_house, toy_store : 39472
Saved path: gym, bank, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, cafe, bookstore, pizzeria : 47110
Saved path: bakery, party_store, florist, bank, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, salon, bike_shop, pet_store : 41675
Saved path: burger_joint, hardware_store, pet_store, bakery, salon, barber_shop, pharmacy, music_store, florist, bank, dentist, cafe, grocery_store, clothing_store, toy_store : 49663
Saved path: barber_shop, jewelry_store, bakery, bike_shop, party_store, pharmacy, gelateria, florist, bank, pizzeria, dentist, burger_joint, tech_shop, noodle_house, toy_store : 36995
Saved path: music_store, pizzeria, craft_shop, dentist, cafe, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, gelateria : 53323
Saved path: toy_store, clothing_store, grocery_store, cafe, craft_shop, florist, gelateria, party_store, barber_shop, bakery, bike_shop, hardware_store, burger_joint, tech_shop, noodle_house : 37173
Saved path: tech_shop, toy_store, gym, hardware_store, bike_shop, pet_store, bakery, party_store, pharmacy, florist, pizzeria, bookstore, cafe, dentist, grocery_store : 46224
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, dentist, clothing_store, noodle_house, toy_store, gym, bakery, pet_store, bike_shop, salon, party_store : 46733
Saved path: party_store, salon, bakery, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist, bookstore, pizzeria, bank, music_store : 38205
Saved path: noodle_house, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, party_store, music_store, bank, craft_shop, bookstore, burger_joint : 45573
Saved path: bookstore, dentist, craft_shop, pizzeria, bank, gelateria, music_store, barber_shop, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, burger_joint : 52375
Saved path: pharmacy, gelateria, bank, gym, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, bakery, pet_store, bike_shop, salon, party_store : 41225
