Saved path: florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, party_store, pharmacy : 47589
Saved path: salon, pharmacy, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, noodle_house, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop : 44542
Saved path: toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, gelateria, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store : 46118
Saved path: clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, party_store, pharmacy, music_store, craft_shop, dentist, cafe, bookstore : 40374
Saved path: party_store, bakery, barber_shop, toy_store, grocery_store, cafe, dentist, craft_shop, gym, pizzeria, bank, florist, music_store, gelateria, pharmacy : 39950
Saved path: pizzeria, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore : 52983
Saved path: barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore, pizzeria, craft_shop, gym, gelateria, party_store, salon, bakery, jewelry_store : 40434
Saved path: bakery, pet_store, bike_shop, gelateria, music_store, florist, pizzeria, bookstore, dentist, cafe, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store : 49927
Saved path: toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store : 49236
Saved path: florist, pizzeria, dentist, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, music_store : 48935
Saved path: dentist, grocery_store, toy_store, tech_shop, burger_joint, hardware_store, bike_shop, bakery, barber_shop, party_store, pharmacy, bank, craft_shop, pizzeria, bookstore : 41772
Saved path: cafe, pizzeria, craft_shop, bank, florist, pharmacy, party_store, jewelry_store, bike_shop, pet_store, bakery, toy_store, noodle_house, tech_shop, burger_joint : 40009
Saved path: salon, hardware_store, gym, pizzeria, florist, bank, dentist, cafe, grocery_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop : 44731
Saved path: barber_shop, jewelry_store, bakery, hardware_store, gym, craft_shop, bank, florist, pizzeria, bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store : 34312
Saved path: bookstore, pizzeria, bank, florist, gym, bakery, salon, party_store, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, dentist, burger_joint : 38973
Saved path: tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, gym, bakery, bike_shop, salon, party_store, pharmacy, toy_store, noodle_house : 37006
Saved path: toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria, craft_shop, gym, hardware_store, burger_joint, cafe, dentist, grocery_store : 51314
Saved path: clothing_store, grocery_store, dentist, bank, florist, party_store, jewelry_store, salon, bakery, pet_store, hardware_store, burger_joint, bookstore, tech_shop, toy_store : 45770
Saved path: jewelry_store, barber_shop, toy_store, tech_shop, dentist, craft_shop, gym, pizzeria, bank, florist, gelateria, bakery, pet_store, bike_shop, salon : 49210
Saved path: gelateria, music_store, bank, craft_shop, grocery_store, clothing_store, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, party_store, pharmacy : 45689
Saved path: florist, bank, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, bakery, bike_shop, party_store, music_store : 37812
Saved path: bakery, bike_shop, party_store, gelateria, florist, bank, pizzeria, gym, burger_joint, cafe, dentist, clothing_store, tech_shop, toy_store, barber_shop : 41796
Saved path: pet_store, bakery, salon, pharmacy, gelateria, music_store, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, tech_shop, toy_store, gym : 46571
Saved path: gelateria, party_store, salon, bakery, jewelry_store, burger_joint, bookstore, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, florist : 35463
Saved path: salon, jewelry_store, gym, toy_store, tech_shop, grocery_store, cafe, dentist, craft_shop, pizzeria, florist, music_store, gelateria, bakery, pet_store : 49327
