Saved path: jewelry_store, party_store, gelateria, music_store, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, pet_store, salon : 49061
Saved path: jewelry_store, hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, music_store, gelateria, pharmacy, party_store, bike_shop : 42501
Saved path: music_store, florist, pizzeria, bookstore, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, pet_store, bakery, salon, party_store, pharmacy : 39814
Saved path: burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, party_store, pharmacy, gelateria, music_store, florist, bank, gym, hardware_store : 34007
Saved path: toy_store, noodle_house, clothing_store, dentist, craft_shop, bank, gelateria, music_store, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop : 48190
Saved path: dentist, craft_shop, bank, gelateria, party_store, bakery, pet_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, grocery_store : 46943
Saved path: toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, music_store, gelateria, party_store, bike_shop, bakery, barber_shop, hardware_store : 38687
Saved path: toy_store, burger_joint, cafe, dentist, craft_shop, florist, gelateria, pharmacy, party_store, barber_shop, bakery, bike_shop, salon, hardware_store, gym : 40643
Saved path: burger_joint, grocery_store, toy_store, hardware_store, jewelry_store, bike_shop, pet_store, bakery, pharmacy, gelateria, florist, bank, craft_shop, pizzeria, bookstore : 42625
Saved path: bank, florist, pharmacy, party_store, bakery, hardware_store, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria : 33346
Saved path: bookstore, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, bike_shop, party_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria : 36425
Saved path: music_store, pharmacy, party_store, bakery, bike_shop, hardware_store, burger_joint, tech_shop, toy_store, grocery_store, dentist, bookstore, pizzeria, bank, florist : 38107
Saved path: barber_shop, gelateria, music_store, florist, craft_shop, dentist, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, bike_shop, pet_store, bakery : 53291
Saved path: salon, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop, florist, bank, pizzeria, gym, bakery, pet_store : 43172
Saved path: toy_store, noodle_house, tech_shop, grocery_store, cafe, pizzeria, craft_shop, florist, music_store, gelateria, pet_store, bakery, jewelry_store, hardware_store, gym : 45652
Saved path: bookstore, pizzeria, craft_shop, pharmacy, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe : 37776
Saved path: burger_joint, bookstore, pizzeria, bank, florist, party_store, bakery, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, dentist : 38926
Saved path: clothing_store, toy_store, gym, bakery, pet_store, salon, jewelry_store, gelateria, florist, bank, dentist, cafe, bookstore, burger_joint, tech_shop : 48348
Saved path: pharmacy, party_store, salon, bike_shop, pet_store, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, cafe, dentist, bank : 44004
Saved path: toy_store, tech_shop, clothing_store, dentist, burger_joint, gym, pizzeria, craft_shop, bank, florist, music_store, gelateria, bakery, pet_store, barber_shop : 52366
Saved path: party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist, grocery_store, toy_store, tech_shop, bookstore, burger_joint, hardware_store, bakery, salon : 35644
Saved path: toy_store, clothing_store, dentist, bank, music_store, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, burger_joint, noodle_house : 41043
Saved path: dentist, craft_shop, pizzeria, bank, music_store, gelateria, party_store, salon, bakery, gym, toy_store, tech_shop, burger_joint, bookstore, cafe : 36623
Saved path: bookstore, grocery_store, noodle_house, toy_store, gym, jewelry_store, pet_store, bakery, salon, party_store, pharmacy, gelateria, music_store, florist, bank : 44787
