Saved path: pharmacy, gelateria, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore, gym, hardware_store, jewelry_store, salon, bakery : 38443
Saved path: salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, bookstore, dentist, craft_shop, bank, florist, gelateria : 39323
Saved path: pizzeria, bookstore, cafe, burger_joint, tech_shop, clothing_store, toy_store, pet_store, bike_shop, salon, jewelry_store, pharmacy, gelateria, music_store, craft_shop : 44973
Saved path: hardware_store, gym, toy_store, noodle_house, clothing_store, bookstore, cafe, dentist, craft_shop, bank, gelateria, pharmacy, bike_shop, bakery, barber_shop : 43935
Saved path: pet_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, bank, music_store, gelateria, pharmacy, party_store : 43836
Saved path: bookstore, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, gelateria, florist, bank, dentist, grocery_store : 39568
Saved path: party_store, pharmacy, gelateria, music_store, pizzeria, gym, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, jewelry_store, bakery, pet_store, bike_shop : 46483
Saved path: bakery, jewelry_store, gym, toy_store, noodle_house, tech_shop, bookstore, dentist, craft_shop, bank, music_store, gelateria, party_store, salon, bike_shop : 40757
Saved path: cafe, clothing_store, grocery_store, dentist, bank, florist, music_store, gelateria, pharmacy, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, bookstore : 38882
Saved path: toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, burger_joint, gym, pizzeria, florist, gelateria, bakery, pet_store, jewelry_store, barber_shop : 45323
Saved path: gelateria, pharmacy, salon, bakery, hardware_store, gym, burger_joint, tech_shop, toy_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, bank : 30993
Saved path: music_store, gelateria, party_store, salon, bakery, barber_shop, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, cafe, dentist, bank, florist : 38104
Saved path: barber_shop, toy_store, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, bank, music_store, gelateria, pharmacy, party_store, bike_shop, bakery : 38317
Saved path: cafe, bookstore, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, party_store, pharmacy, gelateria, music_store, craft_shop, dentist : 41212
Saved path: tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe, bank, florist, music_store, pharmacy, salon, bakery, pet_store, hardware_store, burger_joint : 40660
Saved path: gym, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, craft_shop, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, hardware_store : 38405
Saved path: burger_joint, noodle_house, tech_shop, clothing_store, toy_store, bakery, bike_shop, party_store, pharmacy, music_store, gelateria, bank, craft_shop, pizzeria, bookstore : 32934
Saved path: bakery, salon, pharmacy, gelateria, music_store, florist, bank, pizzeria, dentist, burger_joint, noodle_house, clothing_store, toy_store, barber_shop, pet_store : 49472
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, jewelry_store, pet_store, bike_shop, party_store, florist, pizzeria, craft_shop, dentist, cafe : 47895
Saved path: bike_shop, salon, party_store, pharmacy, florist, craft_shop, gym, burger_joint, cafe, grocery_store, noodle_house, toy_store, barber_shop, bakery, pet_store : 44247
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint, gym, bank, music_store, pharmacy, bike_shop, pet_store, bakery : 46709
Saved path: noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, pharmacy, gelateria, music_store, florist, dentist, clothing_store : 51946
Saved path: music_store, gelateria, bike_shop, pet_store, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, craft_shop, florist : 45190
Saved path: salon, bike_shop, bakery, gym, bookstore, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, florist, music_store, pharmacy : 39588
Saved path: toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, burger_joint, hardware_store, gym, florist, pharmacy, bakery, bike_shop, jewelry_store, barber_shop : 41569
Saved path: toy_store, noodle_house, tech_shop, bookstore, cafe, grocery_store, dentist, craft_shop, florist, music_store, gelateria, pharmacy, salon, bakery, hardware_store : 35343
Saved path: music_store, gelateria, party_store, salon, bike_shop, pet_store, bakery, hardware_store, gym, toy_store, tech_shop, burger_joint, cafe, bookstore, craft_shop : 43932
Saved path: bakery, salon, party_store, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, cafe, noodle_house, toy_store, gym, hardware_store, barber_shop : 36422
Saved path: bike_shop, bakery, pharmacy, toy_store, clothing_store, grocery_store, dentist, burger_joint, bookstore, pizzeria, craft_shop, gym, hardware_store, jewelry_store, salon : 40567
Saved path: jewelry_store, barber_shop, bakery, salon, party_store, gelateria, florist, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store : 39089
Saved path: bike_shop, salon, hardware_store, bookstore, bank, craft_shop, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store : 43377
Saved path: pharmacy, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, gym, pizzeria, craft_shop, bank, florist, music_store : 43218
Saved path: florist, dentist, grocery_store, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, party_store, gelateria : 51005
Saved path: salon, bakery, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, florist, gelateria, party_store : 34374
Saved path: party_store, gelateria, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop : 48159
Saved path: gym, florist, gelateria, pharmacy, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, dentist, cafe, bookstore : 39362
Saved path: gelateria, music_store, pizzeria, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, jewelry_store, pet_store, party_store : 50468
Saved path: noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, music_store, pharmacy, party_store, pet_store, hardware_store, gym, toy_store : 47699
Saved path: bookstore, burger_joint, hardware_store, gym, pizzeria, music_store, party_store, salon, bakery, barber_shop, toy_store, tech_shop, grocery_store, dentist, cafe : 43578
