Saved path: florist, craft_shop, pizzeria, gym, burger_joint, cafe, grocery_store, tech_shop, toy_store, bakery, pet_store, bike_shop, salon, party_store, music_store : 43516
Saved path: hardware_store, toy_store, noodle_house, clothing_store, grocery_store, dentist, pizzeria, florist, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store : 48225
Saved path: salon, bike_shop, pet_store, gym, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, craft_shop, music_store, gelateria, pharmacy, party_store : 44855
Saved path: bakery, pet_store, bike_shop, pharmacy, florist, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint : 44313
Saved path: toy_store, clothing_store, tech_shop, bookstore, pizzeria, bank, craft_shop, dentist, cafe, burger_joint, pet_store, bakery, salon, jewelry_store, barber_shop : 41597
Saved path: dentist, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, gelateria, music_store, florist, bank, bookstore : 49985
Saved path: pharmacy, music_store, craft_shop, dentist, clothing_store, cafe, bookstore, burger_joint, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 53458
Saved path: party_store, gelateria, music_store, florist, bank, gym, dentist, burger_joint, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon : 51519
Saved path: dentist, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, bakery, party_store, pharmacy, florist, bank, pizzeria, bookstore, cafe : 34657
Saved path: bookstore, pizzeria, bank, pharmacy, bakery, pet_store, bike_shop, hardware_store, gym, burger_joint, noodle_house, toy_store, grocery_store, dentist, cafe : 47230
Saved path: gelateria, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, toy_store, gym, jewelry_store, party_store, pharmacy : 35675
Saved path: bakery, jewelry_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, gelateria, pharmacy, salon, bike_shop : 37314
Saved path: grocery_store, burger_joint, gym, pizzeria, bank, florist, music_store, gelateria, party_store, bakery, pet_store, barber_shop, toy_store, noodle_house, tech_shop : 46092
Saved path: clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, music_store, gelateria, party_store, bike_shop, salon, hardware_store, toy_store, noodle_house : 38466
Saved path: toy_store, noodle_house, burger_joint, pet_store, bakery, salon, jewelry_store, party_store, music_store, gelateria, bank, pizzeria, bookstore, grocery_store, clothing_store : 42953
Saved path: craft_shop, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, hardware_store, jewelry_store, pet_store, bakery, party_store, pharmacy, music_store, gelateria, bank : 43911
Saved path: pizzeria, bank, florist, music_store, gelateria, party_store, bike_shop, bakery, barber_shop, toy_store, tech_shop, cafe, burger_joint, hardware_store, gym : 38687
Saved path: hardware_store, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, gym, craft_shop, bank, florist, party_store, salon, bike_shop, bakery, jewelry_store : 34035
Saved path: pharmacy, party_store, pet_store, bakery, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint, gym, pizzeria, music_store : 45217
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bakery, party_store, pharmacy, gelateria, music_store, florist, gym, cafe : 34257
Saved path: bookstore, burger_joint, tech_shop, toy_store, hardware_store, jewelry_store, salon, bakery, party_store, pharmacy, gelateria, music_store, bank, craft_shop, pizzeria : 31222
Saved path: toy_store, hardware_store, jewelry_store, bakery, pet_store, bike_shop, party_store, music_store, gelateria, bank, craft_shop, dentist, bookstore, tech_shop, clothing_store : 49831
Saved path: salon, party_store, gelateria, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, pet_store, bakery : 40745
Saved path: dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, pet_store, bakery, salon, hardware_store, gym, pizzeria, bank, florist, craft_shop : 39924
